N°Obs,"En moyenne, à quelle fréquence achetez-vous des vêtements ?",Où achetez-vous le plus souvent ? (choix multiples),Quel est le cycle de vie moyen d’un vêtement dans votre garde-robe avant que vous ne vous en sépariez ?,Que faites-vous le plus souvent des vêtements dont vous souhaitez vous séparer ? (choix multiples),"Après avoir acheté des vêtements, à quelle fréquence finissent-ils par ne jamais être portés ?",Jusqu’à quel point les tendances actuelles influencent-elles vos décisions d’achat ?,A quelle fréquence achetez-vous un vêtement uniquement parce qu'il est tendance ?,Avez-vous déjà ressenti une pression sociale liée à la mode ?,Avez-vous déjà évité de porter un vêtement parce qu’il n’était “plus à la mode” ?,Dans quelle mesure vos vêtements contribuent-ils à votre confiance en vous ?,Pensez-vous que bien s’habiller aide dans la vie sociale ?,"Jusqu’à quel point les réseaux sociaux (influenceurs, célébrités) dictent-ils vos choix vestimentaires ?",Je publie parfois des photos de mes achats “tendance” pour les partager avec mes amis et ma famille.,Avez-vous déjà ressenti un sentiment de culpabilité après avoir acheté un article tendance vu sur les réseaux sociaux ?,Avez-vous déjà remarqué une différence dans la manière dont vous êtes perçu(e) lorsque vous ne suivez pas une tendance ?,Avez-vous déjà acheté certains de ces articles ? (choix multiples),Connaissez-vous le concept de “fast fashion” ?,"“La fast fashion, ou « mode rapide », est une façon de produire et vendre des vêtements très vite, en suivant les dernières tendances, à des prix très bas.” __Avez-vous déjà consommé sur des plateformes de fast fashion (Shein, Temu, etc.) ?","Dans quelle mesure les considérations éthiques (conditions de travail)/environnementales (pollution, matériaux)  affectent-elles vos achats ?","Si un vêtement éthique (bio, local, éco-responsable) coûtait 20 % plus cher, dans quelle mesure seriez-vous prêt(e) à l’acheter ?",Pour quelles raisons achetez-vous des vêtements de marques considérées comme fast fashion ? (Choix multiples),Quel est votre âge ?,Êtes-vous :,"Selon vous, la mode est-elle davantage un outil d'expression personnelle ou un moyen de se conformer aux attentes sociales?",Quelle est votre situation professionnelle ?,(Quelle est votre situation professionnelle ?) Précisez :,"(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ?) Prix","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Qualité","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Marque","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Mode / tendances","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Confort","Bonjour,_Ce questionnaire porte sur la mode et son influence dans la vie _quotidienne._Il est anonyme et confidentiel, il ne vous _prendra que quelques minutes._Merci d'avance pour votre participation  !",Clé,Date de saisie,Date de dernier enregistrement,Date de dernière modification,Temps de saisie,Origine,Langue,Appareil utilisé pour la saisie,Progression,Dernière question saisie,
46,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends;Je les jette;Je les recycle,Certains vêtements restent parfois inutilisés,5,Rarement,Parfois,Souvent,8,Assez,5,6,7,9,Pantalon cargo;Campus;Sonny Angel;Tote bag,Oui,Oui,10,8,Abordables;Facilité d’achat,20,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,6,8,2,8,8,,U26X-7D3V,17/10/2025 12:29:41,17/10/2025 12:31:47,,"125,780066",direct,FR,Smartphone,Terminé,,
47,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,7,Rarement,Rarement,Rarement,8,Assez,5,1,1,7,Campus,Oui,Oui,7,7,Abordables,18,Une femme,Je ne sais pas,Étudiant(e),,7,8,7,7,8,,C7D6-BEJ4,17/10/2025 12:28:17,17/10/2025 12:32:25,,"248,040827",direct,FR,Smartphone,Terminé,,
48,Tous les 2 à 3 mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,7,Jamais,Souvent,Souvent,7,Assez,1,1,1,7,Pantalon cargo;Campus,Oui,Oui,3,1,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,18,Une femme,Je ne sais pas,Étudiant(e),,10,7,7,7,7,,U96T-JA23,17/10/2025 12:28:07,17/10/2025 12:33:35,,"328,117531",direct,FR,Smartphone,Terminé,,
49,Au moins une fois par semaine,Magasin physique;Internet,6 mois à 1 an,Je les donne;Je les vends,Je porte presque toujours mes achats,7,Parfois,Rarement,Jamais,8,Beaucoup,7,10,2,3,Aucun,Non,Oui,7,7,Mode actuelle,19,Un homme,C'est un outil d'expression personnelle,Ouvrier / Ouvrière,,3,8,9,9,7,,H4E9-3HCE,17/10/2025 12:29:42,17/10/2025 12:34:21,,"278,408305",direct,FR,Smartphone,Terminé,,
50,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Souvent,Souvent,Souvent,8,Beaucoup,7,1,6,9,Pantalon cargo;Tote bag,Oui,Oui,8,3,Beaucoup d’options;Mode actuelle;Par réseaux sociaux/Publicité,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,3,8,8,,TQK4-TSKV,17/10/2025 12:32:02,17/10/2025 12:38:50,,"407,381489",direct,FR,Smartphone,Terminé,,
51,Au moins une fois par mois,Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends;Je les recycle;Je les garde sans les utiliser,Je porte presque toujours mes achats,7,Rarement,Parfois,Rarement,7,Assez,6,6,8,5,Pantalon cargo;Tote bag;Samba,Oui,Oui,7,4,Abordables;Facilité d’achat;Renouvellement des collections,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,8,6,7,7,,6R6U-DDAU,17/10/2025 12:28:30,17/10/2025 12:41:02,,"751,505274",direct,FR,Smartphone,Terminé,,
52,Au moins une fois par an,Marché local,1 à 5 ans,Je les donne;Je les vends;Je les recycle,Je porte presque toujours mes achats,1,Rarement,Parfois,Jamais,9,Pas du tout,1,5,1,5,Pantalon cargo;Stanley Cup,J’en ai entendu parler sans bien savoir,Oui,5,1,Beaucoup d’options;Abordables,42,Une femme,C'est un outil d'expression personnelle,Sans emploi actuellement,,10,10,1,10,1,,CHAP-BVUU,17/10/2025 12:24:55,17/10/2025 12:44:45,,"1190,05345",direct,FR,Smartphone,Terminé,,
53,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les recycle;Je les garde sans les utiliser,Je porte presque toujours mes achats,6,Rarement,Jamais,Jamais,8,Beaucoup,6,1,,2,Pantalon cargo;Samba,Oui,Oui,3,1,Beaucoup d’options;Abordables;Facilité d’achat,20,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,5,1,5,9,,85HU-KZDU,17/10/2025 12:37:38,17/10/2025 12:46:52,,"554,087099",direct,FR,Smartphone,Terminé,,
54,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,1,Jamais,Jamais,Jamais,1,Beaucoup,1,1,,5,Aucun,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",1,1,Beaucoup d’options;Facilité d’achat,19,Un homme,Je ne sais pas,Sans emploi actuellement,,7,9,4,1,8,,6ZYE-N45A,17/10/2025 12:43:52,17/10/2025 12:47:11,,"198,818675",direct,FR,Smartphone,Terminé,,
55,Au moins une fois par mois,Magasin physique;Internet,6 mois à 1 an,Je les donne;Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Rarement,Parfois,Souvent,8,Assez,1,1,7,1,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",6,6,Abordables;Facilité d’achat;Mode actuelle;Par réseaux sociaux/Publicité,20,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,6,9,4,6,5,,LR2P-HZXF,17/10/2025 12:43:56,17/10/2025 12:47:41,,"224,523001",direct,FR,Smartphone,Terminé,,
56,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,6,Jamais,Jamais,Rarement,8,Assez,4,1,,1,Aucun,Non,"Non, mais je connais ces plateformes",5,10,Facilité d’achat,23,Un homme,Je ne sais pas,Étudiant(e),,8,9,1,4,10,,9D33-37BN,17/10/2025 12:59:05,17/10/2025 13:03:38,,"272,953626",direct,FR,Smartphone,Terminé,,
57,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Jamais,Jamais,Jamais,6,Beaucoup,1,3,,5,Pantalon cargo,Oui,Oui,7,6,Abordables;Facilité d’achat,18,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,8,6,8,5,10,,8ZCC-EGD3,17/10/2025 13:03:48,17/10/2025 13:06:45,,"176,906766",direct,FR,Smartphone,Terminé,,
58,Au moins une fois par mois,Magasin physique,Plus de 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,1,Jamais,Jamais,Jamais,8,Beaucoup,1,1,,1,Aucun,Oui,"Non, mais je connais ces plateformes",6,6,Par réseaux sociaux/Publicité,22,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,6,1,1,5,,2N4H-EQ7S,17/10/2025 13:03:51,17/10/2025 13:08:20,,"268,844034",direct,FR,Smartphone,Terminé,,
59,Au moins une fois par an,Magasin physique,Plus de 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,2,Rarement,Jamais,Jamais,7,Beaucoup,1,1,,1,Campus,Oui,"Non, mais je connais ces plateformes",8,3,Beaucoup d’options;Abordables,20,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,5,1,4,6,,H6PZ-JWNH,17/10/2025 13:06:52,17/10/2025 13:10:14,,"202,28377",direct,FR,Smartphone,Terminé,,
60,Au moins une fois par mois,Magasin physique;Internet,6 mois à 1 an,Je les recycle,Certains vêtements restent parfois inutilisés,7,Rarement,Parfois,Souvent,8,Assez,7,8,5,7,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",1,8,Par réseaux sociaux/Publicité,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,10,4,9,8,,N9FC-JVGA,17/10/2025 13:05:52,17/10/2025 13:10:48,,"296,201492",direct,FR,PC,Terminé,,
61,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,5,Rarement,Jamais,Jamais,5,Pas du tout,1,1,,5,Aucun,Non,"Non, mais je connais ces plateformes",5,5,Beaucoup d’options,19,Un homme,Je ne sais pas,Étudiant(e),,10,10,3,5,6,,8VGY-QK5X,17/10/2025 13:02:37,17/10/2025 13:14:56,,"738,968527",direct,FR,Smartphone,Terminé,,
62,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les vends;Je les jette,Certains vêtements restent parfois inutilisés,5,Rarement,Parfois,Rarement,8,Assez,5,1,8,6,Pantalon cargo;Campus;Samba,Oui,Oui,6,6,Beaucoup d’options;Abordables,21,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,7,3,3,8,,CPNC-9P2Z,17/10/2025 13:12:56,17/10/2025 13:19:51,,"415,006261",direct,FR,Smartphone,Terminé,,
63,Au moins une fois par an,Internet,6 mois à 1 an,Je les donne,Je porte presque toujours mes achats,2,Jamais,Jamais,Jamais,5,Beaucoup,1,1,,1,Pantalon cargo;Campus,J’en ai entendu parler sans bien savoir,Oui,7,2,Abordables,21,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,10,8,2,2,10,,AK35-CKYC,17/10/2025 13:05:07,17/10/2025 13:27:49,,"1362,55559",direct,FR,Smartphone,Terminé,,
64,Moins d'une fois par an,Marché local,Plus de 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,1,Jamais,Jamais,Jamais,1,Pas du tout,1,1,,1,Labubu,Non,"Non, je ne connais pas ces plateformes",1,1,Beaucoup d’options,66,Un homme,Je ne sais pas,Cadre,,10,1,1,1,1,,XYJE-TRDK,17/10/2025 13:25:23,17/10/2025 13:28:29,,"185,607802",direct,FR,Smartphone,Terminé,,
65,Tous les 2 à 3 mois,Internet;Friperie / Seconde main,1 à 5 ans,Je les vends,Je porte presque toujours mes achats,4,Rarement,Rarement,Jamais,10,Assez,1,1,6,1,Aucun,Oui,Oui,8,5,Abordables,19,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,7,7,3,5,10,,NHPE-MV5R,17/10/2025 13:24:54,17/10/2025 13:29:38,,"283,766434",direct,FR,Smartphone,Terminé,,
66,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,8,Rarement,Jamais,Jamais,9,Assez,6,6,,5,Pantalon cargo,Oui,Oui,1,1,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections;Par conseil d’amis/famille;Par réseaux sociaux/Publicité,19,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,8,7,7,9,,MKQP-SWU8,17/10/2025 13:26:28,17/10/2025 13:30:18,,"230,393351",direct,FR,Smartphone,Terminé,,
67,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Je porte presque toujours mes achats,4,Jamais,Parfois,Jamais,7,Assez,7,1,1,1,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",10,7,Renouvellement des collections,20,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,6,10,1,6,10,,B96M-YLV4,17/10/2025 13:32:20,17/10/2025 13:35:48,,"208,341451",direct,FR,Smartphone,Terminé,,
68,Tous les 2 à 3 mois,Magasin physique,Plus de 5 ans,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,2,Rarement,Jamais,Rarement,8,Assez,3,3,,7,Pantalon cargo;Campus,Oui,"Non, mais je connais ces plateformes",6,7,Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,9,7,4,3,9,,KYMU-T8BG,17/10/2025 13:34:20,17/10/2025 13:42:47,,"506,698853",direct,FR,Smartphone,Terminé,,
69,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,4,Rarement,Parfois,Parfois,7,Assez,3,4,4,1,Pantalon cargo;Campus;Sonny Angel;Tote bag,Oui,Oui,3,2,Abordables;Facilité d’achat,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,4,4,4,8,,4MCG-2DP2,17/10/2025 13:37:03,17/10/2025 13:46:41,,"578,238476",direct,FR,Smartphone,Terminé,,
70,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les recycle,Je porte presque toujours mes achats,1,Jamais,Jamais,Jamais,7,Assez,1,1,,5,Pantalon cargo,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",8,8,Abordables;Facilité d’achat;Par conseil d’amis/famille,19,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,10,2,1,10,,5RKB-2QZM,17/10/2025 13:32:55,17/10/2025 13:48:48,,"953,529837",direct,FR,Smartphone,Terminé,,
71,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,7,Parfois,Parfois,Rarement,6,Assez,5,1,1,4,Pantalon cargo,Oui,Oui,6,8,Abordables;Facilité d’achat,18,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,9,3,6,8,,L3Q6-RXTJ,17/10/2025 13:44:42,17/10/2025 13:49:54,,"311,88014",direct,FR,Smartphone,Terminé,,
72,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,7,Parfois,Rarement,Rarement,7,Peu,6,1,5,7,Aucun,Oui,Oui,7,6,Facilité d’achat,19,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,8,8,6,5,10,,2FCJ-QRPB,17/10/2025 14:04:03,17/10/2025 14:07:09,,"186,62955",direct,FR,Smartphone,Terminé,,
73,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les vends,Je porte presque toujours mes achats,4,Jamais,Rarement,Jamais,6,Assez,4,2,5,5,Campus,Non,"Non, mais je connais ces plateformes",7,4,Abordables,17,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,3,7,6,5,7,,JZA3-K47G,17/10/2025 14:06:26,17/10/2025 14:10:53,,"267,283008",direct,FR,Smartphone,Terminé,,
74,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,8,Rarement,Souvent,Souvent,9,Beaucoup,9,1,3,2,Pantalon cargo;Tote bag;Samba,Oui,Oui,5,4,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle;Par réseaux sociaux/Publicité,17,Une femme,Je ne sais pas,Étudiant(e),,9,8,5,8,7,,L87B-PMTM,17/10/2025 13:44:56,17/10/2025 14:17:58,,"1981,87802",direct,FR,Smartphone,Terminé,,
75,Tous les 2 à 3 mois,Magasin physique;Internet;Friperie / Seconde main,6 mois à 1 an,Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,7,Parfois,Parfois,Souvent,8,Beaucoup,8,7,6,6,Pantalon cargo;Balletcore flats,Oui,"Non, mais je connais ces plateformes",7,6,Abordables;Mode actuelle,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,7,7,7,6,,9FVJ-EUMT,17/10/2025 14:16:23,17/10/2025 14:20:18,,"234,692146",direct,FR,Smartphone,Terminé,,
76,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,6,Rarement,Parfois,Rarement,8,Assez,7,6,3,3,Pantalon cargo,Oui,"Non, mais je connais ces plateformes",6,6,Abordables;Facilité d’achat;Renouvellement des collections,20,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,7,9,5,7,9,,3WJ5-67KW,17/10/2025 14:26:23,17/10/2025 14:30:05,,"222,08636",direct,FR,Smartphone,Terminé,,
77,Tous les 2 à 3 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les jette,Je porte presque toujours mes achats,2,Jamais,Parfois,Jamais,5,Peu,1,1,1,1,Aucun,Oui,"Non, mais je connais ces plateformes",8,6,Abordables;Par conseil d’amis/famille,19,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,6,7,1,9,,G6EE-Q8P9,17/10/2025 14:38:46,17/10/2025 14:43:37,,"291,026105",direct,FR,Smartphone,Terminé,,
78,Tous les 2 à 3 mois,Magasin physique;Internet;Friperie / Seconde main;Marché local,1 à 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,8,Parfois,Rarement,Rarement,8,Assez,5,3,4,2,Tote bag;Samba,Oui,Oui,5,3,Abordables;Mode actuelle,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,6,6,5,6,8,,762T-XC54,17/10/2025 14:53:34,17/10/2025 14:57:37,,"243,60917",direct,FR,Smartphone,Terminé,,
79,Tous les 2 à 3 mois,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,5,Rarement,Rarement,Parfois,8,Assez,6,1,6,1,Pantalon cargo;Sonny Angel,Oui,Oui,8,5,Facilité d’achat,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,6,4,6,8,,9GWJ-ESFG,17/10/2025 15:02:41,17/10/2025 15:06:02,,"200,380669",direct,FR,Smartphone,Terminé,,
80,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,8,Parfois,Parfois,Parfois,8,Beaucoup,6,7,3,8,Pantalon cargo;Campus,Oui,"Non, je ne connais pas ces plateformes",10,6,Par réseaux sociaux/Publicité,18,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,5,8,6,9,7,,QVH2-6WD8,17/10/2025 15:16:29,17/10/2025 15:25:49,,"560,163886",direct,FR,Smartphone,Terminé,,
81,Tous les 4 à 6 mois,Internet;Friperie / Seconde main,Plus de 5 ans,Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,7,Rarement,Souvent,Jamais,10,Beaucoup,10,9,10,10,Tote bag,Oui,Oui,10,10,Facilité d’achat,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,1,4,7,,85QA-C89D,17/10/2025 15:26:10,17/10/2025 15:28:29,,"138,633685",direct,FR,Smartphone,Terminé,,
82,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,6,Rarement,Parfois,Parfois,9,Assez,9,1,7,2,Pantalon cargo;Samba,Oui,"Non, mais je connais ces plateformes",6,7,Abordables;Mode actuelle;Renouvellement des collections;Par réseaux sociaux/Publicité,23,Un homme,C'est un outil d'expression personnelle,Cadre,,7,7,7,6,8,,52CM-T9B9,17/10/2025 15:24:50,17/10/2025 15:29:17,,"267,542035",direct,FR,Smartphone,Terminé,,
83,Tous les 2 à 3 mois,Magasin physique,6 mois à 1 an,Je les donne,Je porte presque toujours mes achats,5,Rarement,Parfois,Rarement,10,Beaucoup,5,5,5,5,Stanley Cup,Oui,Oui,5,5,Abordables,18,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,6,5,4,8,,2VL8-VB6V,17/10/2025 15:33:37,17/10/2025 15:37:07,,"209,510365",direct,FR,Smartphone,Terminé,,
84,Au moins une fois par an,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,3,Rarement,Rarement,Jamais,7,Assez,2,1,1,1,Pantalon cargo,Non,Oui,1,1,Facilité d’achat,18,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,9,7,3,2,8,,KR2N-WH2Q,17/10/2025 15:34:54,17/10/2025 15:39:00,,"246,519774",direct,FR,Smartphone,Terminé,,
85,Tous les 2 à 3 mois,Magasin physique,6 mois à 1 an,Je les donne;Je les vends;Je les recycle;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,4,Rarement,Parfois,Rarement,5,Beaucoup,5,3,2,2,Aucun,Oui,"Non, mais je connais ces plateformes",4,2,Beaucoup d’options;Abordables;Facilité d’achat;Renouvellement des collections,19,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,7,7,3,5,9,,MHSH-K6DW,17/10/2025 15:27:24,17/10/2025 15:58:51,,"1887,12743",direct,FR,Smartphone,Terminé,,
86,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les jette;Je les garde sans les utiliser,Je porte presque toujours mes achats,6,Rarement,Rarement,Jamais,8,Assez,7,5,1,5,Pantalon cargo;Campus;Tote bag;Samba,J’en ai entendu parler sans bien savoir,Oui,4,5,Abordables;Facilité d’achat;Renouvellement des collections;Par réseaux sociaux/Publicité,20,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,7,5,7,8,,Q52L-LWJW,17/10/2025 15:57:17,17/10/2025 16:04:29,,"431,900577",direct,FR,Smartphone,Terminé,,
87,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends;Je les recycle;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,6,Rarement,Parfois,Parfois,8,Assez,7,1,2,6,Pantalon cargo;Tote bag;Samba,Oui,Oui,6,6,Abordables,22,Une femme,C'est un outil d'expression personnelle,Autre,Alternante,9,9,9,8,10,,6YJ8-32HS,17/10/2025 16:23:18,17/10/2025 16:26:55,,"216,903975",direct,FR,Smartphone,Terminé,,
88,Au moins une fois par mois,Magasin physique,6 mois à 1 an,Je les vends,Je porte presque toujours mes achats,6,Rarement,Parfois,Jamais,9,Beaucoup,4,8,9,9,Pantalon cargo;Campus;Tote bag,Oui,"Non, mais je connais ces plateformes",7,2,Abordables;Mode actuelle;Renouvellement des collections,19,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,8,9,9,9,9,,ZZB6-7FFM,17/10/2025 16:40:21,17/10/2025 16:43:51,,"210,479965",direct,FR,Smartphone,Terminé,,
89,Tous les 4 à 6 mois,Internet;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les jette,Je porte presque toujours mes achats,5,Rarement,Rarement,Rarement,9,Assez,2,2,2,6,Pantalon cargo;Tote bag,Oui,Oui,9,8,Facilité d’achat,20,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,9,6,6,10,,CGZZ-H3AG,17/10/2025 16:48:23,17/10/2025 16:53:27,,"303,638214",direct,FR,Smartphone,Terminé,,
90,Tous les 4 à 6 mois,Internet,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,3,Rarement,Jamais,Rarement,8,Assez,3,3,,4,Aucun,Oui,"Non, mais je connais ces plateformes",2,3,Renouvellement des collections;Par conseil d’amis/famille,19,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,4,6,8,5,9,,32RJ-KCF2,17/10/2025 17:04:06,17/10/2025 17:06:48,,"162,189893",direct,FR,Smartphone,Terminé,,
91,Au moins une fois par an,Magasin physique,6 mois à 1 an,Je les donne,Je porte presque toujours mes achats,7,Parfois,Parfois,Rarement,10,Beaucoup,6,8,1,9,Pantalon cargo;Campus,Oui,Oui,9,3,Abordables,19,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,10,7,1,6,7,,4ZJC-DHKJ,17/10/2025 17:15:29,17/10/2025 17:23:32,,"483,032666",direct,FR,Smartphone,Terminé,,
92,Au moins une fois par mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,5,Rarement,Parfois,Parfois,7,Beaucoup,1,8,8,4,Pantalon cargo;Campus,Oui,Oui,4,6,Facilité d’achat,22,Une femme,C'est un moyen de se conformer aux attentes sociales,Autre,,8,8,2,6,10,,9E22-CSUU,17/10/2025 17:20:56,17/10/2025 17:29:14,,"497,626414",direct,FR,Smartphone,Terminé,,
93,Tous les 2 à 3 mois,Magasin physique,Plus de 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,7,Rarement,Rarement,Rarement,9,Assez,6,7,5,3,Pantalon cargo;Tote bag,Oui,Oui,6,7,Facilité d’achat;Mode actuelle,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,8,5,7,9,,XCCY-3G5F,17/10/2025 17:33:38,17/10/2025 17:39:22,,"343,481555",direct,FR,Smartphone,Terminé,,
94,Tous les 4 à 6 mois,Magasin physique;Internet,Plus de 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,7,Parfois,Parfois,Rarement,10,Assez,7,2,5,6,Tote bag,Oui,Oui,6,6,Abordables,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,10,5,6,10,,2PHR-494A,17/10/2025 18:03:59,17/10/2025 18:07:33,,"214,247943",direct,FR,Smartphone,Terminé,,
95,Tous les 4 à 6 mois,Internet,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,7,Rarement,Rarement,Jamais,7,Pas du tout,6,1,1,1,Pantalon cargo;Tote bag,Oui,"Non, mais je connais ces plateformes",5,4,Abordables;Facilité d’achat;Mode actuelle,18,Une femme,Je ne sais pas,Étudiant(e),,5,7,3,5,8,,AZ47-U6LT,17/10/2025 18:07:52,17/10/2025 18:11:05,,"192,734939",direct,FR,Smartphone,Terminé,,
